Transaction_ID,User_ID,Crypto,Transaction_Type,Amount,Price_Per_Unit,Total_Value,Transaction_Fee,Platform,Status,Wallet_Type,Transaction_Date
434465,31394,Bitcoin,Withdraw,57.695145,69158.64381207665,3990117.982741115,175752.82411298965,KuCoin,Completed,Trezor,2024-04-10 09:51:58.222424
905397,39627,Solana,Stake,27.708982,23.546636568867523,652.4533288472919,16.845738821928833,Binance,Failed,Cold Wallet,2023-10-04 09:51:58.222424
451293,11506,Cardano,Buy,80.368977,0.5802320574359904,46.63265687873579,0.5003574611652427,OKX,Pending,Hot Wallet,2024-11-15 09:51:58.222424
841249,84005,XRP,Stake,83.900483,0.5238153826465716,43.94836360687717,0.08357356480677604,FTX,Completed,Exchange Wallet,2024-02-11 09:51:58.222424
762686,66706,Dogecoin,Stake,52.528368,0.0620489116525669,3.2593280652855223,0.02018781116025497,Kraken,Pending,Exchange Wallet,2023-09-15 09:51:58.222424
925389,33284,Cardano,Sell,96.423204,0.289344216919849,27.899496454282854,0.8215073574480979,Kraken,Pending,Trezor,2023-10-28 09:51:58.222424
160227,66819,BNB,Transfer,36.251446,654.5913158519834,23729.88173867712,624.3139872382676,Kraken,Failed,Cold Wallet,2024-11-29 09:51:58.222424
687076,83903,XRP,Transfer,31.38778,0.6241359484378766,19.590241839659413,0.8336280654448723,FTX,Pending,Trezor,2024-08-01 09:51:58.222424
556052,76299,Polkadot,Withdraw,94.771521,9.035446907157969,856.3030463061066,32.98859789733541,Coinbase,Completed,Exchange Wallet,2024-04-09 09:51:58.222424
126989,54167,Dogecoin,Transfer,14.249741,0.0853961909743571,1.2168736037711265,0.03244196356048496,Kraken,Pending,Cold Wallet,2024-02-16 09:51:58.222424
901412,37167,Litecoin,Stake,56.494905,72.27661454778801,4083.260472598902,61.3740189968971,FTX,Completed,Trezor,2023-12-03 09:51:58.222424
146060,65838,Avalanche,Withdraw,14.903784,10.807374415144444,161.0707738904391,2.7769896999647097,Huobi,Failed,Trezor,2023-08-20 09:51:58.222424
544966,33627,XRP,Transfer,11.500575,0.502630196282461,5.780536269611163,0.2878235785241778,Huobi,Failed,Trezor,2024-04-19 09:51:58.222424
725730,85233,Avalanche,Buy,36.934027,39.85020281269093,1471.828466639403,50.22324512878551,OKX,Pending,Trezor,2025-01-16 09:51:58.222424
556158,17761,Solana,Withdraw,3.164199,169.216310530705,535.4340805649462,4.893555434662814,FTX,Failed,Ledger,2024-07-20 09:51:58.222424
132253,81629,Bitcoin,Stake,97.341219,67704.32641811523,6590421.6651132405,183963.47180903502,FTX,Completed,Cold Wallet,2024-06-02 09:51:58.222424
321629,36067,Bitcoin,Sell,38.309888,43034.971063091514,1648664.9215102769,43975.69134169167,Coinbase,Completed,Cold Wallet,2023-12-25 09:51:58.222424
206002,99503,BNB,Sell,90.503072,252.2180640498761,22826.50961040655,333.1048800453252,OKX,Failed,Ledger,2023-12-14 09:51:58.222424
242219,13666,Bitcoin,Withdraw,26.745946,51958.23029105492,1389672.0216201192,26871.390954099585,Coinbase,Completed,Hot Wallet,2024-02-16 09:51:58.222424
320659,52410,XRP,Buy,50.104762,0.5124799627206477,25.677686561886926,0.5959689582530773,Coinbase,Pending,Cold Wallet,2024-10-27 09:51:58.222424
514561,62712,Avalanche,Buy,23.539166,23.7665426238269,559.444592068337,14.884737942427758,Kraken,Failed,Cold Wallet,2024-09-18 09:51:58.222424
364140,28016,Polkadot,Stake,23.449896,8.055583854407976,188.90260360514617,2.735704385042703,Binance,Failed,Cold Wallet,2024-11-27 09:51:58.222424
210494,17775,Solana,Transfer,21.119959,27.351375942539025,577.6599385000106,1.5663334418948611,Coinbase,Failed,Hot Wallet,2023-07-16 09:51:58.222424
490442,71497,Cardano,Sell,3.01352,0.8102560488773543,2.4417228084128846,0.043527114225859184,OKX,Completed,Cold Wallet,2025-02-14 09:51:58.222424
875589,19682,XRP,Buy,30.634135,0.5376616453581448,16.47079942822353,0.7084519460557644,Huobi,Pending,Hot Wallet,2024-07-16 09:51:58.222424
705106,79528,BNB,Buy,39.392627,317.96910509773306,12525.638354638797,609.246236594351,Coinbase,Pending,Trezor,2024-01-16 09:51:58.222424
112302,52935,Dogecoin,Transfer,81.181784,0.0741486998899473,6.019523738346525,0.21534554095729097,KuCoin,Pending,Hot Wallet,2023-08-07 09:51:58.222424
449786,59900,Solana,Stake,50.353315,145.20896405799175,7311.752708035737,145.09503786249397,Coinbase,Completed,Hot Wallet,2024-10-02 09:51:58.222424
137005,93197,Ethereum,Stake,60.211506,2632.5358220552475,158508.94644489448,1574.7642888188373,Binance,Completed,Exchange Wallet,2025-02-10 09:51:58.222424
403309,60024,Polkadot,Withdraw,27.88235,6.3313438435918,176.53274501737184,4.691800499211072,Binance,Failed,Cold Wallet,2024-07-15 09:51:58.222424
164564,62214,Bitcoin,Withdraw,0.462872,27607.39168091902,12778.688602130349,149.78694098356166,Kraken,Failed,Hot Wallet,2023-05-10 09:51:58.222424
183990,75238,XRP,Withdraw,95.539686,2.5798851271909053,246.48141496788918,3.314693513372237,Huobi,Failed,Exchange Wallet,2025-02-24 09:51:58.222424
942885,47372,Avalanche,Buy,74.980268,10.55070668601382,791.094814906708,28.552769043116413,Binance,Pending,Cold Wallet,2023-10-24 09:51:58.222424
329842,98767,Polkadot,Withdraw,86.809592,5.637851649663309,489.4196014637988,12.777123108239625,Kraken,Completed,Exchange Wallet,2024-06-24 09:51:58.222424
270062,57292,Solana,Buy,72.323055,57.85936549623421,4184.566073049249,67.2237935797707,OKX,Completed,Ledger,2023-11-17 09:51:58.222424
557218,66840,BNB,Stake,89.217424,588.3547299332587,52491.49340286103,1089.7909042301408,Binance,Completed,Hot Wallet,2024-06-19 09:51:58.222424
254542,48903,Cardano,Transfer,60.19884,0.3585566121306954,21.58469212459779,0.8000623793955017,Binance,Failed,Trezor,2023-05-26 09:51:58.222424
323302,88514,Litecoin,Sell,10.80848,78.11263689456094,844.2788736221239,23.97153204577815,OKX,Pending,Ledger,2024-04-16 09:51:58.222424
243680,79742,Cardano,Sell,56.114836,0.4570763614193256,25.648765060522184,1.0022765576902086,Binance,Failed,Exchange Wallet,2024-04-30 09:51:58.222424
171399,59522,BNB,Buy,21.604076,229.6291702982718,4960.926046940806,165.07075220551013,Huobi,Failed,Exchange Wallet,2023-12-07 09:51:58.222424
910256,63853,Avalanche,Stake,2.187102,24.078459784609528,52.662047551839066,0.9559098919298945,Kraken,Failed,Trezor,2024-08-28 09:51:58.222424
188685,99408,Litecoin,Withdraw,53.939432,133.62168171140846,7207.47761439816,47.20337063796035,KuCoin,Completed,Trezor,2025-02-16 09:51:58.222424
306884,99486,Solana,Buy,9.062473,22.809920321126334,206.71428704235876,1.113669244160063,FTX,Failed,Exchange Wallet,2023-08-05 09:51:58.222424
945529,37746,Cardano,Sell,39.419778,0.4495508839576058,17.72119604531258,0.6034433683819085,Kraken,Failed,Exchange Wallet,2024-05-02 09:51:58.222424
444989,77648,Avalanche,Withdraw,7.590085,46.51189703364597,353.0292519966208,9.812605214559216,OKX,Pending,Hot Wallet,2024-04-10 09:51:58.222424
957578,22032,Litecoin,Buy,42.154059,71.43344774191617,3011.2097706861505,28.544506589073997,Binance,Pending,Hot Wallet,2024-07-28 09:51:58.222424
792856,68365,Ethereum,Buy,30.332943,2080.8517575183496,63118.35775225392,200.6893801385889,FTX,Completed,Hot Wallet,2023-11-25 09:51:58.222424
117782,47181,Ethereum,Stake,63.234779,1940.4448103653,122703.59874514666,979.4864086842553,Binance,Failed,Cold Wallet,2023-11-22 09:51:58.222424
388041,16524,BNB,Sell,9.327797,410.8365341154477,3832.199790412471,151.66617029926286,OKX,Completed,Hot Wallet,2024-03-03 09:51:58.222424
602497,23808,Ethereum,Transfer,8.820407,1645.9049996794286,14517.55198050743,674.163011757211,Binance,Completed,Cold Wallet,2023-08-27 09:51:58.222424
815348,92799,Bitcoin,Sell,76.624245,94454.77089638809,7237525.50658371,14924.21425556344,Binance,Completed,Hot Wallet,2025-01-13 09:51:58.222424
